character,degree_centrality,strength,eigenvector
"NORRISS, SISTER BARB",0.06118962571827924,2226,0.028569765077859337
"CAGE, LUKE/CARL LUCA",0.0948905109489051,2181,0.021285738390247434
PUCK/EUGENE MILTON J,0.05761764249107004,2151,0.019240176778313186
GALACTUS/GALAN,0.06243205466687374,2144,0.03716011732280877
JUSTICE II/VANCE AST,0.07920484547289952,2136,0.027962622957656946
BLACK BOLT/BLACKANTO,0.07159496816275819,2100,0.03121415881673749
SHAMAN/MICHAEL TWOYO,0.06600403789408293,2090,0.022677269316000434
GORGON [INHUMAN],0.070507842832738,2082,0.029926486159377267
"MASTERS, ALICIA REIS",0.0740798260599472,2055,0.051186365464039575
FORGE,0.07640938033856189,2048,0.023406862958999505
KARNAK [INHUMAN],0.07128436092560957,2027,0.028484035888963793
STARFOX/EROS,0.07190557539990682,2016,0.037650346803078896
KINGPIN/WILSON FISK,0.07314800434850133,2008,0.014140838780059933
NORTHSTAR/JEAN-PAUL,0.06522751980121137,2006,0.019525911449400402
SPEEDBALL/ROBBIE BAL,0.08184500698866284,2005,0.02157721042871598
IRON FIST/DANIEL RAN,0.08603820469016928,2003,0.016424941466668355
THUNDERBIRD II/JAMES,0.0717502717813325,1960,0.012107343440597166
"NELSON, FRANKLIN FOG",0.07982605994719677,1940,0.014314316243895113
"BANNER, BETTY ROSS T",0.05451157011958379,1930,0.02047697772482928
CAPTAIN BRITAIN/BRIA,0.07283739711135269,1889,0.016678039017812063
SPIDER-WOMAN II/JULI,0.06615934151265725,1866,0.032008476146838806
ENCHANTRESS/AMORA/HE,0.05730703525392142,1853,0.02732317168470063
BISHOP /,0.05668582077962417,1834,0.0267239235672542
AURORA/JEANNE-MARIE,0.06305326914117099,1816,0.01676568547023456
WHITE QUEEN/EMMA FRO,0.062276751048299425,1811,0.009652308112167579
"DUGAN, TIMOTHY ALOYI",0.07827302376145365,1801,0.024757315780663015
UATU,0.08293213231868303,1794,0.03175909851617757
TRITON,0.06724646684267743,1790,0.025518441762239902
MAGIK/ILLYANA RASPUT,0.045348656623699336,1767,0.017443710260000574
PHOENIX III/RACHEL S,0.06460630532691412,1758,0.0166407117292432
STRONG GUY/GUIDO CAR,0.05078428327380028,1755,0.024512515688611625
WARLOCK III,0.04845472899518559,1751,0.015205952762153994
"COOPER, DR. VALERIE",0.08541699021587203,1735,0.01692932854413741
HELLCAT/PATSY WALKER,0.05668582077962417,1699,0.02574055967410144
"OSBORN, HARRY",0.04193197701506445,1695,0.014100783966792561
PHARAOH RAMA-TUT,0.062276751048299425,1690,0.03535831201103432
MOON KNIGHT/MARC SPE,0.06957602112129213,1676,0.019987627859107477
DR. DRUID/ANTHONY LU,0.07671998757571051,1634,0.0256794391290613
LOCKJAW [INHUMAN],0.06336387637831961,1633,0.025515157900347096
THANOS,0.05823885696536729,1630,0.023189623156560472
LILANDRA NERAMANI [S,0.056375213542475544,1628,0.021324873391541772
LIVING LIGHTNING/MIG,0.056219909923901225,1626,0.02800250864643596
"URICH, BEN",0.06491691256406275,1620,0.012245922978741034
DAZZLER II/ALLISON B,0.05901537505823886,1619,0.022209455029985004
LOCKHEED,0.05140549774809753,1609,0.01647824927742067
HEIMDALL [ASGARDIAN],0.04100015530361858,1593,0.013162189655819001
SIRYN/THERESA ROURKE,0.05886007143966455,1589,0.010449278462130892
"OSBORN, LIZ ALLAN",0.054045659263860846,1578,0.013061462102649978
MYSTIQUE/RAVEN DARKH,0.06274266190402236,1577,0.015351532221772124
CYPHER/DOUG RAMSEY,0.05000776518092872,1576,0.01334947617744449
MEGGAN,0.05078428327380028,1570,0.012017965925858274
"ROSS, GEN. THADDEUS",0.05233731945954341,1557,0.019892406238888664
WONG,0.07035253921416369,1550,0.01459217434687531
POWER MAN/ERIK JOSTE,0.07019723559558938,1528,0.016735004014733254
BLOB/FRED J. DUKES,0.06848889579127194,1521,0.015095827629329284
PUNISHER II/FRANK CA,0.07563286224569032,1517,0.007690998566558283
BEETLE/ABNER RONALD,0.06973132473986644,1494,0.014627729658492948
DRAX/ARTHUR DOUGLAS,0.047367603665165396,1489,0.021390238471090967
SPIDER-MAN CLONE/BEN,0.05513278459388104,1488,0.00838352130401595
MOONSTONE II/KARLA S,0.06662525236838018,1472,0.013529282300303223
"HARKNESS, AGATHA",0.05575399906817829,1465,0.031029737438690596
MULTIPLE MAN/JAMES A,0.05016306879950303,1454,0.018110887532771916
RICTOR/JULIO ESTEBAN,0.03649635036496351,1450,0.012194706801607417
SCREAMING MIMI/MELIS,0.06709116322410312,1440,0.012075727224150203
SANDMAN/WILLIAM BAKE,0.06103432209970493,1433,0.022895423939396777
ANT-MAN II/SCOTT HAR,0.06507221618263706,1406,0.022619833902129714
WARLOCK II/ADAM WARL,0.047212300046591084,1376,0.01957684261147006
NIGHT THRASHER/DUANE,0.06274266190402236,1369,0.009492054756028503
HUMAN TORCH ANDROID/,0.05357974840813791,1348,0.019510234446341635
"WATSON, ANNA",0.04426153129367914,1342,0.01044490641105679
DARKHAWK/CHRIS POWEL,0.05528808821245535,1330,0.015834371976182603
NIGHTHAWK II/KYLE RI,0.0400683335921727,1294,0.01497670891294959
"JAMESON, COL. JOHN",0.04907594346948284,1252,0.013275127030202538
"GYRICH, HENRY PETER",0.06507221618263706,1241,0.018757086048988063
